station_id,user_id,user_state,station_name,station_play_date,listening_hours,daily_session_starts
235286,001196DA-D53D-4DB5-8B73-D05B79335F22-777,NV,Classic Rock Hits (Premium),4/17/21 0:00,7.3,80
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,3/29/21 0:00,0.430277778,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,3/30/21 0:00,1.074166667,4
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,3/31/21 0:00,1.425277778,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/1/21 0:00,0.575277778,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/2/21 0:00,1.441111111,0
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/8/21 0:00,0.486388889,2
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/9/21 0:00,0.482777778,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/12/21 0:00,1.082777778,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/14/21 0:00,0.991666667,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/15/21 0:00,0.693333333,0
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/16/21 0:00,0.5525,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/19/21 0:00,0.844444444,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/20/21 0:00,0.714722222,0
20407,0013913e07782a25a44cef1484593a5e-109,FL,CNN,4/20/21 0:00,5.56E-04,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/21/21 0:00,0.869722222,1
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/22/21 0:00,0.875555556,2
25876,0013913e07782a25a44cef1484593a5e-109,FL,ESPN Radio,4/23/21 0:00,0.523055556,1
17077,0014B2BC-B096-45A2-822A-6237D3B44090-777,CA,talkSPORT,4/6/21 0:00,0,1
309346,0014B2BC-B096-45A2-822A-6237D3B44090-777,CA,CNN - Premium,4/10/21 0:00,1.005,1
309346,0014B2BC-B096-45A2-822A-6237D3B44090-777,CA,CNN - Premium,4/14/21 0:00,0.258055556,1
257961,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,Mix Lite (Premium),3/30/21 0:00,0.032222222,2
272036,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,MSNBC - Premium,4/14/21 0:00,0,2
272036,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,MSNBC - Premium,4/15/21 0:00,2.005,2
272036,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,MSNBC - Premium,4/17/21 0:00,0,2
272036,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,MSNBC - Premium,4/21/21 0:00,3.505555556,2
257961,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,Mix Lite (Premium),4/24/21 0:00,0.06,2
272036,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,MSNBC - Premium,4/24/21 0:00,0.162222222,2
235257,00160269-1D7E-4C73-9907-ACD6F0CE139D-777,FL,Smooth Jazz (Premium),4/24/21 0:00,0.607777778,2
272036,00185DE9-D48A-4633-AAF5-B38B8423DB68-777,TX,MSNBC - Premium,4/5/21 0:00,0,28
235389,00185DE9-D48A-4633-AAF5-B38B8423DB68-777,TX,Classic Hits (Premium),4/5/21 0:00,0.396666667,28
235389,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hits (Premium),3/29/21 0:00,34.34666667,36
235337,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hip Hop (Premium),3/30/21 0:00,0,6
235391,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,80's Hits (Premium),3/30/21 0:00,2.138333333,12
235393,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,00's Hits (Premium),3/30/21 0:00,0,6
235389,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hits (Premium),3/30/21 0:00,13.20833333,6
273493,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Hot Hip Hop and R&B (Premium),3/30/21 0:00,0,6
235391,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,80's Hits (Premium),3/31/21 0:00,0,6
235389,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hits (Premium),4/1/21 0:00,13.15,6
235389,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hits (Premium),4/2/21 0:00,14.95,6
259262,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Soul Groove (Premium),4/4/21 0:00,0,6
235389,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hits (Premium),4/5/21 0:00,8.898333333,6
235337,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hip Hop (Premium),4/19/21 0:00,0,6
235337,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hip Hop (Premium),4/22/21 0:00,0,6
235389,00191699-81F1-4EB8-A580-F39E11226ACB-777,CA,Classic Hits (Premium),4/24/21 0:00,0.418333333,6
110052,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,CNBC,3/30/21 0:00,0.835555556,8
20407,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,CNN,3/30/21 0:00,11.04444444,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,3/31/21 0:00,8.024444444,8
110052,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,CNBC,3/31/21 0:00,7.331111111,8
20407,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,CNN,4/1/21 0:00,0.291111111,8
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/1/21 0:00,30.04,32
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/2/21 0:00,30.46222222,16
297990,00195E1C-FD0B-4280-A1E8-AEF653E3841F-777,DC,MSNBC,4/3/21 0:00,15.66222222,16
